DATE,VALUE,COMMENT
01/01/48,3.4,"The first round was held from 19 to 20 March, all matches being played over two sessions as best-of-17-frames matches. Neil Robertson played Mark Selby in the opening match of the tournament. Robertson progressed into an early lead, taking the first two frames with breaks of 88 and 110.[5] Selby then won six frames in a row, including three century breaks, to lead 6�2 after the first session.[5]"
01/02/48,3.8,"The 2019 Tour Championship was a professional snooker ranking tournament, held from 19 to 24 March 2019 in Llandudno, Wales. Organised by the World Professional Billiards and Snooker Association, this was the first edition of the Tour Championship and the third and final event of the inaugural Coral Cup. It was the eighteenth ranking event of the 2018/2019 season."
01/03/48,4,"The draw for the Tour Championship comprised the top eight players based on the single year ranking list, taking part in a single elimination tournament. Each match was played over a minimum of two sessions, the final as best-of-25-frames over two days. The winner of the tournament won �150,000 out of a total prize fund of �375,000. The event was sponsored by betting company Coral."
01/04/48,3.9,"In a repeat of the Players Championship final two weeks prior, Ronnie O'Sullivan met Neil Robertson in the final. O'Sullivan won the match 13�11 to claim his 36th ranking title, equalling Stephen Hendry's record of ranking event wins. On winning the tournament, O'Sullivan returned to the world number one position for the first time since May 2010, and won the Coral Cup. In regaining the ranking, he also became the oldest world number one since Ray Reardon in 1983. This was O'Sullivan's third ranking title win of the season, having won the UK Championship and the Players Championship earlier in the season."
01/05/48,3.5,"The event featured 22 century breaks made by six players. The tournament's highest break prize of �5,000 was won by Robertson, scoring a break of 135 in frame 16 of his first round victory over Mark Selby."
01/06/48,3.6,"The 2019 Tour Championship was the third and final event in the 2019 Coral Cup series, first introduced in the 2018/2019 season, after the World Grand Prix and the Players Championship. The players qualified for the series by virtue of their placement on the one-year ranking list, rather than by world ranking. The event featured the top eight players from the one-year ranking list taking part in a single elimination tournament. The Tour Championship was played from 19 to 24 March 2019 in Llandudno, Wales and organised by the World Professional Billiards and Snooker Association.[1]"
01/07/48,3.6,"The Tour Championship was the first event since the 2010 UK Championship (and other than the World Championship) in which every match was played over multiple sessions, with two in the quarter-finals and semi-finals, and three sessions in the final.[2] The best-of-25-frames final, held on 23 and 24 March, was the first non-World Championship match of this length or longer since the 1992 UK Championship final.[3]"
01/08/48,3.9,"The tournament was primarily broadcast by ITV4 in the United Kingdom.[4] It also aired on Sky Sport in New Zealand, NowTV in Hong Kong, and Superstars Online in China. Eurosport did not broadcast the event, despite covering all but one of the other snooker tournaments this season.[4][a] The event was sponsored by sports betting company Coral.[3]"
01/09/48,3.8,"Robertson won the first three frames of the second session, to reduce his deficit to 5�6. Selby missed the frame ball pink in frame 12, allowing Robertson to tie the match at 6�6.[6] Robertson also took frame 13 to lead the match for the first time since frame two. Selby won frame 14 despite requiring three snookers, and also frame 15, to lead the match again at 8�7, before Robertson took the match to a decider with a break of 135.[6] Frame 17 � the final frame of the match � lasted over an hour and went to the final black. After Selby attempted a double, Robertson potted the black ball to win the frame and match.[6][7]"
01/10/48,3.7,"Reigning Masters champion Judd Trump drew reigning World champion Mark Williams in the second first round match.[8] The pair were tied at 4�4 after the first session, but Williams won four of the next five frames to lead 8�5. Trump then completed a comeback and won the next four frames to come through another final frame decider.[9] Post match, Trump commented that Williams ""controlled"" the match, but missed too many long pots towards the end of the match.[10][11]"
